Library ID	Sample ID	Sequencing Modality (e.g. 50-6-50)	Library Type	Reference Genome	Sample discription	fastqs
GB9339	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TCF1N100srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9339_S1_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9339_S1_L003_R2_001.fastq.gz
GB9340	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TCF1N500srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9340_S2_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9340_S2_L003_R2_001.fastq.gz
GB9341	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TCF1N1000srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9341_S3_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9341_S3_L003_R2_001.fastq.gz
GB9342	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TEF1A srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9342_S4_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9342_S4_L003_R2_001.fastq.gz
GB9343	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TEF1B srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9343_S5_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9343_S5_L003_R2_001.fastq.gz
GB9344	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TEF1C srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9344_S6_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9344_S6_L003_R2_001.fastq.gz
GB9345	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- H3k4me3 srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9345_S7_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9345_S7_L003_R2_001.fastq.gz
GB9346	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- IgG CST srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9346_S8_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9346_S8_L003_R2_001.fastq.gz
GB9347	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- IgG M srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9347_S9_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9347_S9_L003_R2_001.fastq.gz
GB9348	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- IgG CST prep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9348_S10_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9348_S10_L003_R2_001.fastq.gz
GB9349	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- IgG M prep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9349_S11_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9349_S11_L003_R2_001.fastq.gz
GB9350	KZ1854	50-6-50	ChIC-seq	mouse	WT TCF1AID -6h GFP+ TCF1 srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9350_S12_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9350_S12_L003_R2_001.fastq.gz
GB9351	KZ1854	50-6-50	ChIC-seq	mouse	WT TCF1AID -6h GFP+ LEF1A srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9351_S13_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9351_S13_L003_R2_001.fastq.gz
GB9352	KZ1854	50-6-50	ChIC-seq	mouse	WT TCF1AID -6h GFP+ TCF1 srep.2	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9352_S14_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9352_S14_L003_R2_001.fastq.gz
GB9353	KZ1854	50-6-50	ChIC-seq	mouse	WT TCF1AID -6h GFP+ LEF1A srep.2	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9353_S15_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9353_S15_L003_R2_001.fastq.gz
