	fragmentLengthMean	fragmentLengthStd	redundancy	totalMappedPETs	uniquePETs
GB9339	113.05594037960061	49.848258857179516	0.15039719877814905	16043856.0	13630905.0
GB9340	100.94689359166182	50.42273526302703	0.12907342625544893	15174572.0	13215938.0
GB9341	103.13257917332862	52.027738609825256	0.15716424424805475	15236150.0	12841572.0
GB9342	107.6254226780583	50.256222447022736	0.13522399998312695	15172144.0	13120506.0
GB9343	118.57208822655467	50.3850970594658	0.1886692561474952	13879230.0	11260646.0
GB9344	120.3243453883366	46.83793476343132	0.30461439582743866	14918031.0	10373784.0
GB9345	93.97377383677762	46.264033575546996	0.061224321207350774	17915854.0	16818968.0
GB9346	116.22794414596882	49.75481950426397	0.2540691319440479	14884870.0	11103084.0
GB9347	118.1318725890323	49.74741248865033	0.3003609324445099	14194346.0	9930919.0
GB9348	111.26687804069432	48.62454594523873	0.16772140833726112	13699247.0	11401590.0
GB9349	93.78422962377185	44.69726350414339	0.15405120460234212	18049940.0	15269325.0
GB9350	131.38917764685843	49.46642432800555	0.3568448531965681	10825360.0	6962386.0
GB9351	137.46560131899474	48.16228137050692	0.4307696038015614	12496339.0	7113296.0
GB9352	130.4174460464529	48.61759966410639	0.4522995149394472	12686045.0	6948153.0
GB9353	136.91531653722583	47.82791223695072	0.45010805444734603	12434472.0	6837616.0
