sample	Sample ID	Sequencing Modality (e.g. 50-6-50)	Library Type	Reference Genome	Sample discription	fastqs	MappingRatio(%s)	TotalReads	fragmentLengthMean	fragmentLengthStd	redundancy	totalMappedPETs	uniquePETs
GB9339	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TCF1N100srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9339_S1_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9339_S1_L003_R2_001.fastq.gz	73.83	24054848.0	113.0559403796006	49.84825885717953	0.15039719877814905	16043856.0	13630905.0
GB9340	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TCF1N500srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9340_S2_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9340_S2_L003_R2_001.fastq.gz	72.35	23687021.0	100.94689359166182	50.42273526302703	0.12907342625544893	15174572.0	13215938.0
GB9341	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TCF1N1000srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9341_S3_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9341_S3_L003_R2_001.fastq.gz	67.86	25572360.0	103.13257917332862	52.027738609825256	0.15716424424805475	15236150.0	12841572.0
GB9342	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TEF1A srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9342_S4_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9342_S4_L003_R2_001.fastq.gz	75.15	22474843.0	107.6254226780583	50.25622244702274	0.13522399998312695	15172144.0	13120506.0
GB9343	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TEF1B srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9343_S5_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9343_S5_L003_R2_001.fastq.gz	64.12	24335741.0	118.57208822655468	50.3850970594658	0.1886692561474952	13879230.0	11260646.0
GB9344	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- TEF1C srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9344_S6_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9344_S6_L003_R2_001.fastq.gz	53.35	31844069.0	120.3243453883366	46.83793476343132	0.30461439582743866	14918031.0	10373784.0
GB9345	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- H3k4me3 srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9345_S7_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9345_S7_L003_R2_001.fastq.gz	81.24	23757469.0	93.97377383677762	46.264033575546996	0.06122432120735076	17915854.0	16818968.0
GB9346	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- IgG CST srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9346_S8_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9346_S8_L003_R2_001.fastq.gz	61.6	27539212.0	116.22794414596882	49.75481950426397	0.2540691319440479	14884870.0	11103084.0
GB9347	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- IgG M srep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9347_S9_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9347_S9_L003_R2_001.fastq.gz	57.78	27837457.0	118.13187258903228	49.74741248865033	0.3003609324445099	14194346.0	9930919.0
GB9348	KZ1854	50-6-50	ChIC-seq	mouse	Test S21 -6hG- IgG CST prep.1	/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9348_S10_L003_R1_001.fastq.gz,/mnt/usbdisk/fastq_backup/run1135_190708_J00139_0467_AH7GHHBBXY/GB9348_S10_L003_R2_001.fastq.gz	71.24	23967433.0	111.26687804069431	48.62454594523872	0.16772140833726112	13699247.0	11401590.0
